Product Name;Product Price;Product Old Price;Product Discount;Product Rating;Product Reviews;Product Link;Product Image
Support de Moto & Vélo pour Smartphone avec mini parapluie étanche;44.00 TND;69.00 TND;36%;4;1;https://jumia.com.tn/sans-marque-support-de-moto-velo-pour-smartphone-avec-mini-parapluie-etanche-802448.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/4208/1.jpg?0086
Generic Support de fixation pour moto/vélo, support de téléphone;49.00 TND;98.00 TND;50%;;;https://jumia.com.tn/generic-support-de-fixation-pour-motovelo-support-de-telephone-824891.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/8428/1.jpg?7425
Vélo électrique  12 v rouge pour enfant de 3 à 5 ans;720.00 TND;;;;;https://jumia.com.tn/sans-marque-velo-electrique-12-v-rouge-pour-enfant-de-3-a-5-ans-730776.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/7037/1.jpg?3031
Generic Câble Antivol Vélo et Moto - 22mm x 1 m - Noir;21.99 TND;35.00 TND;37%;5;1;https://jumia.com.tn/generic-cable-antivol-velo-et-moto-22mm-x-1-m-noir-805930.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/9508/1.jpg?3831
Bicyclette Électrique - BK01- Noir;4,419.00 TND;6,199.90 TND;29%;;;https://jumia.com.tn/sans-marque-bicyclette-electrique-bk01-noir-823469.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/4328/1.jpg?1046
Pompe vélo à main avec embout double tête-Rouge amarante;18.00 TND;30.00 TND;40%;5;2;https://jumia.com.tn/sans-marque-pompe-velo-a-main-avec-embout-double-tete-rouge-amarante-753507.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/5357/1.jpg?0807
Pro Mini pump universal - bicycle dule head portable - mini foot pump Ball;35.00 TND;60.00 TND;42%;3.6;5;https://jumia.com.tn/pro-mini-pump-universal-bicycle-dule-head-portable-mini-foot-pump-ball-509129.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/1905/1.jpg?0250
Generic Antivol - Cadenas à câble - Noir - 80cm;49.00 TND;59.00 TND;17%;;;https://jumia.com.tn/generic-antivol-cadenas-a-cable-noir-80cm-824065.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/0428/1.jpg?1849
Generic Antivol - Cadenas à câble - Noir - 80cm;29.00 TND;39.00 TND;26%;3;2;https://jumia.com.tn/generic-antivol-cadenas-a-cable-noir-80cm-788457.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/4887/1.jpg?3766
Generic Câble Antivol Vélo et Moto - 22mm x 1 m - Rouge;21.99 TND;35.00 TND;37%;5;1;https://jumia.com.tn/generic-cable-antivol-velo-et-moto-22mm-x-1-m-rouge-805929.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/9508/1.jpg?3833
Pompe Air A Pied Pour Voiture, Vélo, Ballon, Moto;29.00 TND;39.00 TND;26%;5;1;https://jumia.com.tn/sans-marque-pompe-air-a-pied-pour-voiture-velo-ballon-moto-834422.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/4438/1.jpg?7166
Pompe vélo à main avec embout double tête-Doré;18.00 TND;30.00 TND;40%;3;1;https://jumia.com.tn/sans-marque-pompe-velo-a-main-avec-embout-double-tete-dore-753673.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/6357/1.jpg?9887
Elops Antivol Velo U 500 Gris;39.00 TND;;;5;1;https://jumia.com.tn/elops-antivol-velo-u-500-gris-814182.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/1418/1.jpg?3908
Generic Antivol - Cadenas à câble - Noir - 80cm;29.00 TND;39.00 TND;26%;;;https://jumia.com.tn/generic-antivol-cadenas-a-cable-noir-80cm-788458.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/4887/1.jpg?3765
Pack 2 Ballons de volley-ball standard en cuir souple et Gonfleur;39.00 TND;69.00 TND;43%;;;https://jumia.com.tn/sans-marque-pack-2-ballons-de-volley-ball-standard-en-cuir-souple-et-gonfleur-834462.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/4438/1.jpg?8426
Generic Câble Antivol Vélo et Moto - 22mm x 1 m - Bleu;21.99 TND;35.00 TND;37%;;;https://jumia.com.tn/generic-cable-antivol-velo-et-moto-22mm-x-1-m-bleu-805928.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/9508/1.jpg?3833
Vilo Lot Applicateur + Eponge- 20% - Noir;4.10 TND;4.94 TND;17%;4.3;32;https://jumia.com.tn/vilo-lot-applicateur-eponge-20-noir-416208.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/2614/1.jpg?7588
BTWIN Panier Junior Noir;75.00 TND;;;;;https://jumia.com.tn/btwin-panier-junior-noir-830973.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/9038/1.jpg?0397
Rétroviseur Universel Réglable De Vélo - Noir;19.90 TND;35.00 TND;43%;;;https://jumia.com.tn/sans-marque-retroviseur-universel-reglable-de-velo-noir-828810.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/8828/1.jpg?8132
Elops Antivol Accessoires Velo a Cle 100 Gris;19.00 TND;;;;;https://jumia.com.tn/elops-antivol-accessoires-velo-a-cle-100-gris-814179.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/1418/1.jpg?3913
Elops Panier Velo 500 Bclip M;79.00 TND;;;;;https://jumia.com.tn/elops-panier-velo-500-bclip-m-830938.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/9038/1.jpg?0387
BTWIN Decathlon Casque vélo enfant 500 rose - JUNIOR;70.00 TND;;;;;https://jumia.com.tn/btwin-decathlon-casque-velo-enfant-500-rose-junior-590005.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/0095/1.jpg?9546
Cable Frein Route + Embouts;16.00 TND;;;;;https://jumia.com.tn/decathlon-cable-frein-route-embouts-830976.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/9038/1.jpg?0397
Pompe à pied manuelle - Avec afficheur de pression;39.00 TND;65.00 TND;40%;4;1;https://jumia.com.tn/sans-marque-pompe-a-pied-manuelle-avec-afficheur-de-pression-733305.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/3337/1.jpg?7807
YooKie Support de vélo/Moto pour Smartphone - WaterProof;32.00 TND;70.00 TND;54%;;;https://jumia.com.tn/yookie-support-de-velomoto-pour-smartphone-waterproof-830839.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/8038/1.jpg?8008
Vélo Enfant ferrari  - 20 Pouces;479.00 TND;;;;;https://jumia.com.tn/sans-marque-velo-enfant-ferrari-20-pouces-253709.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/7352/1.jpg?0605
Generic Pompe Vélo à main avec embout double tête - Doré;17.90 TND;;;;;https://jumia.com.tn/generic-pompe-velo-a-main-avec-embout-double-tete-dore-759575.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/5957/1.jpg?4507
Housse de protection transparente pour scooter - moto -vélo électrique - imperméable - anti-poussière;79.00 TND - 99.00 TND;100.00 TND - 200.00 TND;51%;;;https://jumia.com.tn/sans-marque-housse-de-protection-transparente-pour-scooter-moto-velo-electrique-impermeable-anti-poussiere-682963.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/9286/1.jpg?3920
Pro Vase en Rotin en Forme de Vélo, Panier à Fleurs-Beige et Rose;15.00 TND;25.00 TND;40%;;;https://jumia.com.tn/pro-vase-en-rotin-en-forme-de-velo-panier-a-fleurs-beige-et-rose-701024.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/0107/1.jpg?5203
Inter Tech Support vélo pour Smartphones - Rotatif à 360°;49.90 TND;79.00 TND;37%;;;https://jumia.com.tn/inter-tech-support-velo-pour-smartphones-rotatif-a-360-663297.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/2366/1.jpg?6208
DJO Support Mural pour velo - Rabattable - Multifonctions;79.50 TND;95.00 TND;16%;;;https://jumia.com.tn/djo-support-mural-pour-velo-rabattable-multifonctions-807617.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/6708/1.jpg?9691
Pro Vase en Rotin en Forme de Vélo, Panier à Fleurs-Beige et Bleu;15.00 TND;25.00 TND;40%;;;https://jumia.com.tn/pro-vase-en-rotin-en-forme-de-velo-panier-a-fleurs-beige-et-bleu-701026.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/0107/1.jpg?5203
Mini Pompe Air A Pied Universelle;34.00 TND;39.00 TND;13%;;;https://jumia.com.tn/sans-marque-mini-pompe-air-a-pied-universelle-834423.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/4438/1.jpg?7166
Mini Pompe Air avec ballon cadeau;38.00 TND;39.00 TND;3%;;;https://jumia.com.tn/sans-marque-mini-pompe-air-avec-ballon-cadeau-834317.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/3438/1.jpg?7666
Elops ANTIVOL VELO 300 CODE;39.00 TND;;;;;https://jumia.com.tn/elops-antivol-velo-300-code-832926.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/9238/1.jpg?8640
Mini Pompe Air avec ballon rouge bleu cadeau;38.00 TND;39.00 TND;3%;;;https://jumia.com.tn/sans-marque-mini-pompe-air-avec-ballon-rouge-bleu-cadeau-834425.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/4438/1.jpg?7227
Borofone Support téléphone vélo et moto - BH15  Le tour -  Anti Vibration;19.90 TND;33.00 TND;40%;3.8;30;https://jumia.com.tn/support-telephone-velo-et-moto-bh15-le-tour-anti-vibration-borofone-mpg13365.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/2334/1.jpg?1898
Cadenas alarme - Avec Sirène de sécurité pour la maison, bureau, moto et vélo;25.00 TND;;;3.2;5;https://jumia.com.tn/cadenas-alarme-avec-sirene-de-securite-pour-la-maison-bureau-moto-et-velo-sans-marque-mpg29184.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/5992/1.jpg?5128
Generic Support de fixation pour moto/vélo, support de téléphone;49.50 TND;99.00 TND;50%;;;https://jumia.com.tn/generic-support-de-fixation-pour-motovelo-support-de-telephone-805634.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/6508/1.jpg?0314
